eventdate,ear,load,ena,termica
2015-07-25,76191.28571428571,33121.76491071,22363.85714285714,6241.982785612857
2015-08-01,75740.57142857143,33764.880369042854,18912.0,6293.59205940143
2015-08-08,74518.85714285714,33849.90357737857,16079.285714285714,6245.589607031428
2015-08-15,72953.42857142857,34439.744077531424,14666.285714285714,6573.3235952800005
2015-08-22,71037.0,34266.04639880571,14132.57142857143,7181.6159820428575
2015-08-29,69330.71428571429,34489.267702378565,14363.57142857143,7353.5416308514295
2015-09-05,67934.85714285714,33163.32771428,17786.85714285714,7153.487982042859
2015-09-12,69037.57142857143,35003.610023807145,29711.571428571428,7209.872011797142
2015-09-19,67837.0,37624.228047617136,20958.714285714286,7223.8183391785715
2015-09-26,65864.71428571429,36540.919714282856,17655.14285714286,7332.083868942857
2015-10-03,63941.42857142857,36235.35691666285,19564.714285714286,7399.81265465
2015-10-10,61766.142857142855,36656.194452378564,21774.85714285714,7220.415803461428
2015-10-17,59359.42857142857,37645.20766925143,17673.428571428572,7149.770206660001
2015-10-24,57211.71428571428,35882.89589880571,17150.714285714286,7055.557023695715
2015-10-31,56156.0,35516.23842856857,21702.0,6408.8178987
2015-11-07,56004.857142857145,37103.92740475714,25880.0,6757.906601090001
2015-11-14,55140.57142857143,37066.12987499715,24161.285714285714,6814.632428467143
2015-11-21,55669.42857142857,36118.89272023428,27910.85714285714,6733.660880852856
2015-11-28,56223.28571428572,36201.01349404429,32650.14285714286,7139.782202281428
2015-12-05,57448.57142857143,36502.93122023429,34361.0,6598.72443441857
2015-12-12,58408.71428571428,38240.97705952143,32499.0,6330.38916657
2015-12-19,59016.857142857145,36019.004130948575,30362.0,6048.814553482857
2015-12-26,60117.142857142855,34442.682164678576,32149.85714285714,4821.748851118572
2016-01-02,62248.28571428572,36265.28621284429,38934.57142857143,5581.379815398572
2016-01-09,65756.71428571429,38242.217176392856,50267.42857142857,6006.251892790001
2016-01-16,76923.28571428571,35315.05839384285,81029.85714285714,5000.451601121428
2016-01-23,85896.57142857143,37654.96776066143,76273.57142857143,4995.150773738571
2016-01-30,91608.71428571429,39941.29675163572,63367.28571428572,4548.213107078571
2016-02-06,95249.14285714286,37879.491245818564,49384.71428571428,4905.4788511285715
2016-02-13,98492.28571428571,40016.13750369571,48176.857142857145,4971.056785638572
2016-02-20,101842.57142857143,39746.542036384286,45904.28571428572,4695.500779690001
2016-02-27,104038.85714285714,38510.26266601429,48753.71428571428,3679.957839224286
2016-03-05,108086.0,39000.721433158564,51189.142857142855,3695.240654698571
2016-03-12,113010.14285714286,37926.00540910572,55508.0,2974.3671547014287
2016-03-19,115314.85714285714,38022.56668544428,46200.0,3370.3936427985714
2016-03-26,117853.57142857143,38792.27283975285,45813.42857142857,3344.1642677842856
2016-04-02,119270.14285714286,39264.02741727,40022.857142857145,3699.927232067143
2016-04-09,119079.28571428571,39515.417072637145,32893.0,3984.3769846299992
2016-04-16,118161.28571428571,38347.90520287143,28564.285714285714,3676.67440193
2016-04-23,117369.28571428571,36596.13299179858,28059.14285714286,3761.132053485714
2016-04-30,117234.0,33404.58032884571,28966.714285714286,4136.668773714286
2016-05-07,116327.14285714286,35286.78054761571,30183.0,3500.0637975414284
2016-05-14,115226.14285714286,34304.370184520005,29815.428571428572,3647.760535640001
2016-05-21,115645.85714285714,33230.01889880571,31694.285714285714,3815.161827297143
2016-05-28,115631.28571428571,34493.33985713857,31147.714285714286,3239.0234463557144
2016-06-04,115702.42857142857,34313.22548213857,29429.428571428572,4763.877023720001
2016-06-11,115878.0,32143.26667261572,33971.0,3411.102589202857
2016-06-18,115374.0,32751.93532737571,31953.571428571428,3145.6831725442858
2016-06-25,114457.28571428571,32545.184988091427,27040.571428571428,3746.815720158571
2016-07-02,113202.71428571429,33171.69551785285,23866.85714285714,3208.970255877143
2016-07-09,110995.28571428571,33784.548744042855,21928.14285714286,3350.5883808699996
2016-07-16,108636.71428571429,33010.56264880714,22727.428571428572,3373.16266064
2016-07-23,106404.42857142857,33557.71907737858,20126.714285714286,3193.8892796814284
2016-07-30,103953.85714285714,33535.14735773857,18387.428571428572,4407.128243961429
2016-08-06,101134.71428571429,34133.90023214,17833.571428571428,4719.901660634286
